Date,"Socialism"
2015-07-17,4212
2015-07-18,4285
2015-07-19,4695
2015-07-20,5641
2015-07-21,5868
2015-07-22,5882
2015-07-23,5479
2015-07-24,4917
2015-07-25,4370
2015-07-26,4992
2015-07-27,5425
2015-07-28,5496
2015-07-29,5177
2015-07-30,5737
2015-07-31,8261
2015-08-01,6989
2015-08-02,7172
2015-08-03,8496
2015-08-04,9496
2015-08-05,7033
2015-08-06,7724
2015-08-07,9683
2015-08-08,7499
2015-08-09,7837
2015-08-10,8082
2015-08-11,8790
2015-08-12,11161
2015-08-13,11489
2015-08-14,9211
2015-08-15,7044
2015-08-16,7276
2015-08-17,8667
2015-08-18,8619
2015-08-19,8234
2015-08-20,8521
2015-08-21,7381
2015-08-22,6279
2015-08-23,6562
2015-08-24,6795
2015-08-25,10009
2015-08-26,8121
2015-08-27,7681
2015-08-28,6783
2015-08-29,6173
2015-08-30,8080
2015-08-31,8774
2015-09-01,8234
2015-09-02,8111
2015-09-03,7653
2015-09-04,6902
2015-09-05,5540
2015-09-06,6400
2015-09-07,8187
2015-09-08,8774
2015-09-09,8101
2015-09-10,8852
2015-09-11,8650
2015-09-12,9707
2015-09-13,10089
2015-09-14,11150
2015-09-15,11746
2015-09-16,11131
2015-09-17,14781
2015-09-18,10877
2015-09-19,10368
2015-09-20,9308
2015-09-21,10097
2015-09-22,10556
2015-09-23,9758
2015-09-24,9147
2015-09-25,8073
2015-09-26,5909
2015-09-27,6344
2015-09-28,7580
2015-09-29,7383
2015-09-30,7293
2015-10-01,7246
2015-10-02,6190
2015-10-03,4713
2015-10-04,5723
2015-10-05,7073
2015-10-06,7128
2015-10-07,7790
2015-10-08,7169
2015-10-09,6189
2015-10-10,5199
2015-10-11,6491
2015-10-12,9271
2015-10-13,14189
2015-10-14,38467
2015-10-15,19290
2015-10-16,12694
2015-10-17,11148
2015-10-18,10423
2015-10-19,12751
2015-10-20,11904
2015-10-21,10881
2015-10-22,10598
2015-10-23,9449
2015-10-24,7403
2015-10-25,7636
2015-10-26,9108
2015-10-27,9183
2015-10-28,8538
2015-10-29,9997
2015-10-30,8269
2015-10-31,5064
2015-11-01,6291
2015-11-02,8625
2015-11-03,8429
2015-11-04,8567
2015-11-05,8451
2015-11-06,8171
2015-11-07,6407
2015-11-08,6911
2015-11-09,7325
2015-11-10,7182
2015-11-11,8656
2015-11-12,7549
2015-11-13,7516
2015-11-14,5836
2015-11-15,7606
2015-11-16,7720
2015-11-17,7436
2015-11-18,7589
2015-11-19,8079
2015-11-20,7977
2015-11-21,5535
2015-11-22,6123
2015-11-23,7359
2015-11-24,7407
2015-11-25,6109
2015-11-26,5621
2015-11-27,5220
2015-11-28,5066
2015-11-29,5373
2015-11-30,6345
2015-12-01,6622
2015-12-02,7206
2015-12-03,7191
2015-12-04,6092
2015-12-05,4585
2015-12-06,5122
